smiles,D,SA
O=[N+]([O-])c1cnn(C(CCCO)(CCN2CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C2)CC(F)([N+](=O)[O-])[N+](=O)[O-])n1,7.241245,5.036568463658655
C#CC#CCOCC,5.4109063,3.4900258128324024
COCc1nc2[nH]c1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C([N+](=O)[O-])N=C(C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C=2[N+](=O)[O-],6.9539375,5.643892718445322
CC(C)NN1C(=O)N(F)C2C1C1C2N(N2CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C2)C(=O)N1CC#N,6.653755,5.822665357505927
O=[N+]([O-])c1cc([N+](=O)[O-])c2ncn3c(c([N+](=O)[O-])c(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc2c1)N=C3CO,7.4315834,4.384343074363684
O=[N+]([O-])NCCc1nc(F)nc([N+](=O)[O-])c1[N+](=O)[O-],8.029575,3.661140943524517
O=[N+]([O-])c1ccc(C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2cnnc2)c([N+](=O)[O-])c1,8.155783,4.670310458620138
CC(=O)c1nc(N)nonc2c(n1)N=C2N,6.352844,4.072583364449509
COCN1CN(CN[N+](=O)[O-])CN(C(=O)CCC(C)([N+](=O)[O-])[N+](=O)[O-])C1,6.04177,4.0189913623733595
NCCC(CCO)(c1nc(N)n[nH]1)n1c([N+](=O)[O-])nnc1[N+](=O)[O-],6.5250106,4.376218715146063
CCOC(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(C1NCC([N+](=O)[O-])([N+](=O)[O-])CC1([N+](=O)[O-])[N+](=O)[O-])n1ccnn1,7.830043,5.50508592054933
O=[N+]([O-])N=C1NCN(OC#Cn2nnnc2[N+](=O)[O-])CN1,7.5292177,4.771350008958897
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1ONCNn1c([N+](=O)[O-])nnc1[N+](=O)[O-],7.321724,3.8335649215212264
CC(=O)N1CN(CCN[N+](=O)[O-])C2C3C(C21)N(n1ccnn1)CN3COCC(F)([N+](=O)[O-])[N+](=O)[O-],6.4686093,5.5637321457161235
Cn1nc([N+](=O)[O-])c(N2CN(CCN[N+](=O)[O-])C3C2C2c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4N=CN4N(CO)CN4C23)c1[N+](=O)[O-],6.4659195,5.735884352292944
CC(N)CCCC(CCn1cnnc1)(c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1)n1cnc([N+](=O)[O-])n1,5.899888,4.346918050676428
CCOCC(=O)C(CC(F)([N+](=O)[O-])[N+](=O)[O-])C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5063725,4.374426659538066
CC(CCC(=O)C(CCF)(CCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1nnc2ccccc21)([N+](=O)[O-])[N+](=O)[O-],6.3332586,4.553300423944796
CON1CN(n2ccnc2)C2C1C1C2N(n2nccn2)CN1OCC(C)([N+](=O)[O-])[N+](=O)[O-],6.1727533,5.8148294407073475
