smiles,D,SA
O=[N+]([O-])OCCCCN(CCCCO)[N+](=O)[O-],5.8350077,3.048247183847245
CC(CNC(C(=O)c1cccc([N+](=O)[O-])c1[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)[N+](=O)[O-],6.2250695,3.8951612912656257
COCN1C(=O)N2NC1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NON=C([N+](=O)[O-])C3(C)N1C(=O)N(CN[N+](=O)[O-])C23C,6.7005515,7.5151958484441135
CC(C)(CON1C(=O)NC2C1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN2F)[N+](=O)[O-],7.274304,5.232232197286912
CC(=O)c1nc(CC(C)N)nc(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,6.4396634,4.0468302834273615
CC(C)(COC(C(=O)n1ncc([N+](=O)[O-])n1)C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.3372726,4.650071623596732
O=[N+]([O-])c1c(COCC(F)([N+](=O)[O-])[N+](=O)[O-])nc(-n2ccnn2)nc1CC(F)([N+](=O)[O-])[N+](=O)[O-],8.203502,4.065756477038402
O=[N+]([O-])OCN1CCN(O)C2C1N(C13C=C([N+](=O)[O-])C=C([N+](=O)[O-])C1=NN=N3)CCN2CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.0450945,5.756052852728891
CC(C)(C)Nc1nc(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(-n2cc([N+](=O)[O-])cn2)n1,6.54362,3.5172169460158464
NC(=O)C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)n1cc([N+](=O)[O-])cn1,7.278376,4.2343659086969
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC1=Nc2c1ccc([N+](=O)[O-])c([N+](=O)[O-])cnc(CCN[N+](=O)[O-])c2[N+](=O)[O-],6.5516663,4.296335077929342
O=C(CCC(=O)n1nnc([N+](=O)[O-])n1)Nc1cnon1,6.8831964,3.4903498613255035
