Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"4-picrylamino-1,2,3-triazole",,Unst. (N2 loss),C8H5N7O6,-67.8,1.719,382.3,185.0,5.05,7.203,223.8,4794.0,80.0,103.0,n1n[nH]cc1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-(3',5'-dinitrophenyl)-4-nitro-1,2,3-triazole",,Unst. (N2 loss),C8H4N6O6,-68.5,1.701,367.0,162.0,5.27,7.131,217.9,4623.0,52.0,56.0,n1c(cn(n1)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-(3',4'-dinitrophenyl)-4-nitro-1,2,3-triazole",,Unst. (N2 loss),C8H4N6O6,-68.5,1.701,403.8,162.0,5.4,7.175,220.6,4739.0,52.0,51.0,n1c(cn(n1)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"4,6-dinitro-1-picryl-benzotriazole",,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,478.4,240.0,5.46,7.415,242.5,5016.0,39.0,40.0,c1(c2c(cc(c1)[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-Picryl-5,7-dinitrobenzotriazole",BTX,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,455.3,240.0,5.41,7.396,241.3,4966.0,39.0,40.0,c1c(cc(c2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,5-dipicrylbenzo-[1,2-d:4,5-d']-bistriazole",,Unst. (N2 loss),C18H6N12O12,-74.2,1.768,894.1,319.0,5.27,7.139,223.6,4594.0,54.0,40.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,7-dipicrylbenzo-[1,2-d:4,5-d']-bistriazole",,Unst. (N2 loss),C18H6N12O12,-74.2,1.768,891.0,319.0,5.27,7.137,223.5,4589.0,54.0,38.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
5-picrylaminotetrazole,,Unst. (tetrazole),C7H4N8O6,-54.0,1.779,465.1,190.0,5.22,7.617,255.6,5454.0,64.0,36.0,n1nn[nH]c1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"5,6-dinitro-1-picryl-benzotriazole",,Unst. (N2 loss),C12H4N8O10,-60.9,1.783,494.0,240.0,5.5,7.428,243.3,5051.0,39.0,35.0,c12cc(c(cc1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1-picryl-4-picrylamino-1,2,3-triazole",,Unst. (N2 loss),C14H6N10O12,-60.0,1.759,532.1,294.0,5.4,7.4,239.5,5030.0,52.0,35.0,n1c(cn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
